Yield  PlantID Plot Treatment
11.41    C1_1   C1         C
23.62    C1_2   C1         C
22.99    C1_3   C1         C
21.89    C1_4   C1         C
 8.84    C1_5   C1         C
13.58    C1_6   C1         C
13.87    C1_7   C1         C
22.55    C1_8   C1         C
11.50    C1_9   C1         C
33.27   C1_10   C1         C
28.92    C2_1   C2         C
20.33    C2_2   C2         C
32.15    C2_3   C2         C
43.01    C2_4   C2         C
44.52    C2_5   C2         C
20.54    C2_6   C2         C
34.38    C2_7   C2         C
28.77    C2_8   C2         C
25.37    C2_9   C2         C
33.85   C2_10   C2         C
70.09    P1_1   P1         P
73.84    P1_2   P1         P
71.03    P1_3   P1         P
87.48    P1_4   P1         P
75.16    P1_5   P1         P
84.88    P1_6   P1         P
83.16    P1_7   P1         P
72.36    P1_8   P1         P
88.88    P1_9   P1         P
66.09   P1_10   P1         P
39.27    P2_1   P2         P
32.03    P2_2   P2         P
41.29    P2_3   P2         P
58.82    P2_4   P2         P
37.33    P2_5   P2         P
57.21    P2_6   P2         P
56.06    P2_7   P2         P
55.75    P2_8   P2         P
49.08    P2_9   P2         P
56.63   P2_10   P2         P
