Subj Phase Cycle dv
1     1     1     1
1     1     2     6
1     2     1    16
1     2     2     8
1     3     1     9
1     3     2    14
1     4     1    11
1     4     2    33
2     1     1    37
2     1     2    59
2     2     1    28
2     2     2    36
2     3     1    34
2     3     2    32
2     4     1    26
2     4     2    37
3     1     1    18
3     1     2    43
3     2     1    38
3     2     2    50
3     3     1    39
3     3     2    15
3     4     1    29
3     4     2    18
4     1     1     1
4     1     2     2
4     2     1     9
4     2     2     8
4     3     1     6
4     3     2     5
4     4     1     5
4     4     2    15
5     1     1    44
5     1     2    25
5     2     1    28
5     2     2    42
5     3     1    47
5     3     2    46
5     4     1    33
5     4     2    35
6     1     1    15
6     1     2    14
6     2     1    22
6     2     2    32
6     3     1    16
6     3     2    23
6     4     1    32
6     4     2    26
7     1     1     0
7     1     2     3
7     2     1     7
7     2     2    17
7     3     1     6
7     3     2     9
7     4     1    10
7     4     2    15
8     1     1    26
8     1     2    15
8     2     1    31
8     2     2    32
8     3     1    28
8     3     2    22
8     4     1    16
8     4     2    15

